Wavelength(nm)	n	k
378.63	3.0584	3.1779
381.54	3.0563	3.1769
384.5	3.0534	3.1774
387.5	3.05	3.18
390.55	3.0444	3.1874
393.65	3.0388	3.1969
396.8	3.0338	3.2079
400	3.03	3.22
403.25	3.0309	3.2316
406.56	3.0331	3.2438
409.92	3.0363	3.2566
413.33	3.04	3.27
416.81	3.0417	3.2833
420.34	3.0438	3.2975
423.93	3.0464	3.313
427.59	3.05	3.33
431.3	3.0556	3.3509
435.09	3.0625	3.3731
438.94	3.0706	3.3963
442.86	3.08	3.42
446.85	3.0898	3.4421
450.91	3.1013	3.4644
455.05	3.1145	3.487
459.26	3.13	3.51
463.55	3.1484	3.5337
467.92	3.1694	3.5581
472.38	3.1932	3.5835
476.92	3.22	3.61
481.55	3.2488	3.6416
486.27	3.2813	3.6731
491.09	3.3181	3.703
496	3.36	3.73
501.01	3.4138	3.7549
506.12	3.4713	3.7731
511.34	3.5306	3.7823
516.67	3.59	3.78
522.11	3.6506	3.7507
527.66	3.7063	3.7106
533.33	3.7538	3.6627
539.13	3.79	3.61
545.05	3.797	3.5523
551.11	3.7925	3.4969
557.3	3.7792	3.448
563.64	3.76	3.41
570.11	3.7396	3.4057
576.74	3.7181	3.4131
583.53	3.6976	3.429
590.48	3.68	3.45
597.59	3.6733	3.4663
604.88	3.6713	3.4838
612.35	3.6736	3.5019
620	3.68	3.52
627.85	3.6913	3.5379
635.9	3.7056	3.5544
644.16	3.7221	3.5687
652.63	3.74	3.58
661.33	3.7585	3.586
670.27	3.7769	3.5881
679.45	3.7943	3.5862
688.89	3.81	3.58
698.59	3.8236	3.5675
708.57	3.8338	3.5513
718.84	3.8395	3.5319
729.41	3.84	3.51
740.3	3.8346	3.487
751.52	3.8219	3.4625
763.08	3.8007	3.4367
775	3.77	3.41
787.3	3.7248	3.3748
800	3.6694	3.3425
813.11	3.6043	3.3164
826.67	3.53	3.3
840.68	3.4427	3.3041
855.17	3.3488	3.3219
870.18	3.2505	3.3537
885.71	3.15	3.4
901.82	3.053	3.4664
918.52	2.9569	3.5463
935.85	2.8623	3.638
953.85	2.77	3.74
972.55	2.6828	3.8465
992	2.5988	3.9619
1012.24	2.5178	4.0863
1033.33	2.44	4.22
1055.32	2.3649	4.3654
1078.26	2.2931	4.5194
1102.22	2.2248	4.6812
1127.27	2.16	4.85
1153.49	2.099	5.0251
1180.95	2.0419	5.2056
1209.76	1.9888	5.3909
1240	1.94	5.58
1271.79	1.8864	5.7839
1305.26	1.8324	6.0022
1340.54	1.7822	6.2343
1377.78	1.74	6.48
1417.14	1.7158	6.7388
1458.82	1.6853	7.0097
1503.03	1.6472	7.2921
1550	1.6213	7.5838
1600	1.5905	7.8951
1653.33	1.5394	8.2365
1710.34	1.503	8.6012
1771.43	1.48	8.99
1837.04	1.4493	9.4081
1907.69	1.4171	9.8431
1984	1.3859	10.3019
2066.67	1.3563	10.8269
2156.52	1.3393	11.4307
2254.55	1.345	12.1172
2361.9	1.3585	12.8232
2480	1.37	13.5
